pop_2009,per_capita_09,PCT_LACCESS_POP10,PCT_LACCESS_HHNV10,GROC09,RECFAC09,PCT_LACCESS_LOWI10,SUPERC09,CONVS09,SPECS09,WICS08,PCH_GROC_09_14,FFR09,FSR09,PCT_NSLP09,PCT_CACFP09,PCT_DIABETES_ADULTS08,PCT_OBESE_ADULTS08,METRO13
3689,25133,100.0000006,1.342809603,3,0,44.68493368,0,2,0,1,FALSE,1,5,11.03772707,2.007890844,7.6,18.8,0
26407,27740,21.70155244,6.857651409,7,4,10.1390707,1,14,1,8,FALSE,19,11,13.22995017,1.060774254,12.1,31.9,0
6724,32156,42.93322952,3.121430559,5,0,15.30875976,0,4,0,2,FALSE,2,6,12.64728619,1.678405334,10,29.8,0
57341,27417,2.700840095,3.269379844,6,3,1.062467654,1,31,2,10,FALSE,24,19,12.31505542,0.916089934,11.4,31.9,1
18405,30356,20.34586449,0.883467208,6,1,10.9677016,1,9,0,5,FALSE,10,12,7.990852609,1.056841824,11.1,35.8,0
71579,30641,21.07955802,2.528599061,17,5,9.536954243,3,49,2,14,FALSE,47,60,10.99078913,0.954011703,11.3,29.4,0
17632,25769,2.434080754,4.152590871,4,1,1.093594015,0,18,1,6,FALSE,11,13,13.22995017,1.060774254,12.3,31.9,0
41290,24943,20.49736529,3.361410329,3,2,9.637760682,1,28,0,9,TRUE,12,29,11.87019433,1.546710785,12.6,31,0
8365,27287,16.08952458,1.511436802,2,1,5.057717868,0,7,1,3,FALSE,5,9,13.13134268,1.224744981,10.4,26.9,0
34078,30988,16.20263847,5.051373778,18,1,7.684303466,1,19,3,15,FALSE,10,5,13.06603005,1.313646519,11.4,31.6,0
55845,32322,28.00537288,2.398219348,13,9,8.690008969,1,25,4,6,TRUE,29,62,8.590151677,0.886967643,6.8,22.2,0
77647,33666,13.97640005,7.000408118,29,3,6.334843644,1,53,6,16,FALSE,52,84,9.275093311,1.440967568,9.3,25.7,0
9536,26007,7.107651571,5.776779992,1,0,2.662452833,0,6,0,1,FALSE,0,3,13.13427904,1.424865129,11.6,31.5,0
2325,39164,22.52386602,0.542903181,2,0,10.85804,0,2,2,2,FALSE,1,4,12.51058988,2.552547446,10.1,27.6,0
90910,32812,11.80780374,1.205461152,14,12,3.999621016,1,43,10,14,TRUE,75,98,8.887484884,1.409349234,6.3,21.9,0
1843,48133,33.85905532,3.251941132,2,0,11.5543296,0,2,0,2,FALSE,0,3,7.778857766,0.686203567,6.1,18.7,0
98949,33140,11.46519071,3.622120207,22,5,4.208442261,1,56,5,18,TRUE,44,83,9.275093311,1.440967568,9.9,29.1,0
18208,26447,9.928318047,3.765920126,1,3,3.640640276,1,9,0,1,FALSE,15,13,13.13427904,1.424865129,10.1,27.9,0
6014,28161,25.87994814,1.480669926,3,0,9.029116921,0,7,0,2,FALSE,4,7,10.99772869,0.626018485,8.3,23.2,0
16375,28099,8.342279466,2.5906301,3,0,3.940972466,0,12,3,4,FALSE,5,5,13.13427904,1.424865129,13.3,31.5,1
105172,38601,39.71377196,3.42586153,21,13,10.86979841,3,50,6,17,TRUE,66,46,13.06603005,1.313646519,9,31.1,1
569130,45898,30.36849593,1.179222919,67,34,7.788383172,10,227,23,28,TRUE,325,255,13.13134268,1.224744981,8.2,25.4,1
26233,33018,10.69661155,4.635522109,5,2,4.149340654,0,26,0,3,FALSE,11,16,13.13427904,1.424865129,11.3,29.5,1
31494,36080,0.653025001,2.780349071,7,2,0.191238269,0,19,0,4,FALSE,7,13,13.13427904,1.424865129,11.4,29.7,1
42053,30433,27.79132177,2.318690966,8,7,8.499198778,1,18,2,7,FALSE,24,35,12.27079455,0.953634165,9.5,30.7,0
9314,38863,21.99436007,1.918267217,2,0,5.77139931,0,7,1,3,FALSE,4,7,10.77667438,1.05044108,10,29.5,0
89233,31587,20.98312539,2.195420766,14,11,6.76039176,3,38,6,11,FALSE,73,62,10.77667438,1.05044108,10.1,34.2,1
4134,20614,40.82932125,8.382903157,1,0,26.20975084,0,4,0,3,FALSE,2,0,12.51058988,2.552547446,12.4,35.6,1
37231,24536,16.95993394,5.7554421,9,0,6.488774021,1,29,0,0,FALSE,8,12,13.74378556,1.291363538,13.9,38.6,1
3481,25840,99.94345096,8.861391683,2,0,55.34905971,0,4,0,1,FALSE,0,4,7.778857766,0.686203567,7.3,19.1,0
6739,35741,41.28488259,2.578615941,5,0,15.74702989,0,7,0,4,FALSE,3,6,13.55134283,2.286183103,8.9,28.8,0
13842,28021,6.593035196,4.097812463,2,1,2.947939807,0,8,0,3,TRUE,4,4,13.13427904,1.424865129,11.5,29.7,1
58513,27792,11.10804407,4.630728802,13,2,4.893515552,2,43,0,20,FALSE,39,30,13.22995017,1.060774254,13.9,35,0
5245,33007,37.61055013,5.456975852,3,0,11.39170887,0,0,0,2,FALSE,2,10,8.887484884,1.409349234,6.6,27.4,0
16248,33989,18.56478618,1.928176153,2,2,4.802111864,0,12,0,3,FALSE,8,17,13.11203063,1.247799097,9,28.6,0
61451,30909,1.701383201,1.797018038,23,7,0.572559622,1,39,5,12,FALSE,29,17,13.06603005,1.313646519,10.3,31,1
3615,30171,54.52671583,1.896322589,1,0,17.25655302,0,7,0,1,FALSE,0,4,11.87019433,1.546710785,11.5,32.1,0
57955,33653,20.98291134,0.928333938,10,6,5.196218119,3,28,5,11,FALSE,40,46,13.55134283,2.286183103,8.9,31.9,1
25940,25441,10.62754121,5.491232268,3,3,4.990397247,1,17,2,4,TRUE,12,16,10.99078913,0.954011703,14.1,33.5,0
